task,subjID,display,trial,fribblePresented,resp,labelPresented,frequency,rt,trialType,list,expeType
contingency,3424063,task,10,30975,-99,dep,h,4034,mismatch-type1,1,pilot1
contingency,3424063,task,11,20825,-98,dep,l,3357,mismatch-type1,1,pilot1
contingency,3424063,task,12,30225,-99,wug,l,3256,mismatch-type1,1,pilot1
contingency,3424063,task,13,11875,98,dep,h,2847,match,1,pilot1
contingency,3424063,task,14,12075,-100,wug,h,3328,mismatch-type1,1,pilot1
contingency,3424063,task,15,20775,100,wug,h,4385,match,1,pilot1
contingency,3424063,task,16,30325,-100,wug,l,2772,mismatch-type1,1,pilot1
contingency,3424063,task,17,30725,98,tob,l,3212,match,1,pilot1
contingency,3424063,task,18,11425,-100,tob,l,5239,mismatch-type1,1,pilot1
contingency,3424063,task,19,20325,-98,dep,l,3082,mismatch-type1,1,pilot1
contingency,3424063,task,20,20625,100,wug,l,2861,match,1,pilot1
contingency,3424063,task,21,21575,99,wug,h,2232,match,1,pilot1
contingency,3424063,task,22,10175,99,dep,h,2071,match,1,pilot1
contingency,3424063,task,23,22325,-99,dep,l,2467,mismatch-type1,1,pilot1
contingency,3424063,task,24,32575,-100,dep,h,2999,mismatch-type1,1,pilot1
contingency,3424063,task,25,11375,-100,wug,h,2313,mismatch-type1,1,pilot1
contingency,3424063,task,26,33275,-99,dep,h,2525,mismatch-type1,1,pilot1
contingency,3424063,task,27,12275,99,dep,h,2634,match,1,pilot1
contingency,3424063,task,28,31425,100,tob,l,2305,match,1,pilot1
contingency,3424063,task,29,21975,-100,tob,h,2651,mismatch-type1,1,pilot1
contingency,3424063,task,30,11625,-99,tob,l,3243,mismatch-type1,1,pilot1
contingency,3424063,task,31,22125,98,wug,l,2598,match,1,pilot1
contingency,3424063,task,32,11325,-99,tob,l,2975,mismatch-type1,1,pilot1
contingency,3424063,task,33,30825,98,tob,l,2699,match,1,pilot1
contingency,3424063,task,34,12875,-99,wug,h,2740,mismatch-type1,1,pilot1
contingency,3424063,task,35,32775,-100,dep,h,2459,mismatch-type1,1,pilot1
contingency,3424063,task,36,23175,-100,tob,h,2752,mismatch-type1,1,pilot1
contingency,3424063,task,37,20425,100,wug,l,4495,match,1,pilot1
contingency,3424063,task,38,20925,99,wug,l,2136,match,1,pilot1
contingency,3424063,task,39,31475,99,tob,h,4869,match,1,pilot1
contingency,3424063,task,40,12325,-100,tob,l,2439,mismatch-type1,1,pilot1
contingency,3424063,task,41,32025,-99,wug,l,2682,mismatch-type1,1,pilot1
contingency,3424063,task,42,12225,98,dep,l,3161,match,1,pilot1
contingency,3424063,task,43,12125,99,dep,l,2966,match,1,pilot1
contingency,3424063,task,44,22375,99,wug,h,2176,match,1,pilot1
contingency,3424063,task,45,31575,99,tob,h,2034,match,1,pilot1
contingency,3424063,task,46,10975,100,dep,h,2243,match,1,pilot1
contingency,3424063,task,47,32275,98,tob,h,2820,match,1,pilot1
contingency,3424063,task,48,10675,-99,wug,h,2883,mismatch-type1,1,pilot1
contingency,3424063,task,49,32525,-100,wug,l,2606,mismatch-type1,1,pilot1
