subjID frequency learning testing trialType acc
2 h sx sx exp 1
2 l sx sx exp 0
2 l sx sx exp 0
2 l sx sx exp 0
2 l sx sx exp 1
2 l sx sx exp 1
2 l sx sx exp 1
2 l sx sx exp 1
2 l sx sx exp 1
2 l sx sx exp 0
2 l sx sx exp 1
2 l sx sx exp 0
2 l sx sx exp 0
2 l sx sx exp 0
2 l sx sx exp 0
2 l sx sx exp 1
2 l sx sx exp 1
2 l sx sx exp 0
2 l sx sx exp 1
2 l sx sx exp 0
2 l sx sx exp 1
2 l sx sx exp 0
2 l sx sx exp 0
2 l sx sx exp 0
2 l sx sx exp 0
1 h sx sx control 1
1 h sx sx control 0
1 h sx sx control 0
1 h sx sx control 0
1 h sx sx control 0
1 h sx sx control 0
1 h sx sx control 0
1 h sx sx control 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 1
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 1
1 h sx sx exp 1
1 h sx sx exp 1
1 h sx sx exp 1
1 h sx sx exp 1
1 h sx sx exp 1
1 h sx sx exp 1
1 h sx sx exp 1
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 h sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
1 l sx sx exp 0
